station_name,raw_station_cd,converted_station_cd
東京,1130101,1130101
東京,1130224,1130101
東京,1130801,1130101
東京,1131101,1130101
東京,1131201,1130101
東京,1131401,1130101
東京,1132601,1130101
東京,1132809,1130101
東京,1133222,1130101
東京,1134301,1130101
東京,2800209,1130101
新宿,1130208,1130208
新宿,1131103,1130208
新宿,1131211,1130208
新宿,1131310,1130208
新宿,1132104,1130208
新宿,1132806,1130208
新宿,1133304,1130208
新宿,2400101,1130208
新宿,2500101,1130208
新宿,2800218,1130208
新宿,2900303,1130208
新宿,9930128,1130208
新宿,9930401,1130208
大宮,1131906,1131906
大宮,1132119,1131906
大宮,1132201,1131906
大宮,1132306,1131906
大宮,1132804,1131906
大宮,1133201,1131906
大宮,1133301,1131906
大宮,2100401,1131906
大宮,9932101,1131906
上野,1130220,1130220
上野,1131901,1130220
上野,1132001,1130220
上野,1132301,1130220
上野,1133218,1130220
上野,1134302,1130220
上野,2800104,1130220
上野,2800305,1130220
横浜,1130105,1130105
横浜,1130701,1130105
横浜,1130806,1130105
横浜,1132803,1130105
横浜,1133235,1130105
横浜,1133310,1130105
横浜,2600121,1130105
横浜,2700126,1130105
横浜,2900101,1130105
横浜,9931001,1130105
横浜,9931613,1130105
品川,1130103,1130103
品川,1130229,1130103
品川,1130803,1130103
品川,1132808,1130103
品川,1133227,1130103
品川,2700102,1130103
渋谷,1130205,1130205
渋谷,1132103,1130205
渋谷,1132807,1130205
渋谷,1133305,1130205
渋谷,2400601,1130205
渋谷,2600101,1130205
渋谷,2600301,1130205
渋谷,2800119,1130205
渋谷,2800801,1130205
渋谷,2801016,1130205
渋谷,2900304,1130205
池袋,1130212,1130212
池袋,1132105,1130212
池袋,1132805,1130212
池袋,1133303,1130212
池袋,2100101,1130212
池袋,2200101,1130212
池袋,2800201,1130212
池袋,2800609,1130212
池袋,2801009,1130212
千葉,1131339,1131339
千葉,1131410,1131339
千葉,1132401,1131339
千葉,1132501,1131339
千葉,1132810,1131339
千葉,9933103,1131339
千葉,9933201,1131339
大船,1130107,1130107
大船,1130712,1130107
大船,1130810,1130107
大船,1132801,1130107
大船,1133314,1130107
大船,9932601,1130107
国分寺,1131106,1131106
国分寺,1131224,1131106
国分寺,1132818,1131106
国分寺,2201001,1131106
国分寺,2201101,1131106
戸塚,1130106,1130106
戸塚,1130809,1130106
戸塚,1132802,1130106
戸塚,1133313,1130106
戸塚,9931627,1130106
吉祥寺,1131104,1131104
吉祥寺,1131219,1131104
吉祥寺,1131302,1131104
吉祥寺,1132820,1131104
吉祥寺,2400617,1131104
恵比寿,1130204,1130204
恵比寿,1132102,1130204
恵比寿,1133306,1130204
恵比寿,2800320,1130204
恵比寿,2900305,1130204
新橋,1130102,1130102
新橋,1130226,1130102
新橋,1130802,1130102
新橋,1133224,1130102
新橋,2800112,1130102
新橋,9930210,1130102
新橋,9931101,1130102
神田,1130223,1130223
神田,1131202,1130223
神田,1133221,1130223
神田,2800107,1130223
空港第２ビル（第２旅客ターミナル）,1132704,1132704
空港第２ビル（第２旅客ターミナル）,1132813,1132704
空港第２ビル（第２旅客ターミナル）,2300142,1132704
空港第２ビル（第２旅客ターミナル）,2300610,1132704
四ツ谷,1131102,1131102
四ツ谷,1131207,1131102
四ツ谷,1131314,1131102
四ツ谷,2800214,1131102
四ツ谷,2800912,1131102
秋葉原,1130222,1130222
秋葉原,1131319,1130222
秋葉原,1133220,1130222
秋葉原,2800307,1130222
秋葉原,9930901,1130222
武蔵小杉,1130307,1130307
武蔵小杉,1130819,1130307
武蔵小杉,1132821,1130307
武蔵小杉,1133315,1130307
武蔵小杉,2600111,1130307
武蔵小杉,2600211,1130307
武蔵小杉,2900308,1130307
西日暮里,1130217,1130217
西日暮里,1133215,1130217
西日暮里,2800505,1130217
西日暮里,9934202,1130217
西船橋,1130524,1130524
西船橋,1131330,1130524
西船橋,1132610,1130524
西船橋,2800423,1130524
西船橋,9933801,1130524
目黒,1130203,1130203
目黒,2600201,1130203
目黒,2800919,1130203
目黒,9930301,1130203
高尾,1131112,1131112
高尾,1131232,1131112
高尾,1132815,1131112
高尾,2400306,1131112
練馬,2200106,2200106
練馬,2200303,2200106
練馬,2200401,2200106
練馬,9930135,2200106
日吉,2600113,2600113
日吉,2600213,2600113
日吉,2600903,2600113
日吉,9934310,2600113
荻窪,1131217,1131217
荻窪,1131304,1131217
荻窪,2800225,1131217
新横浜,1130604,1130604
新横浜,2600901,1130604
新横浜,2900401,1130604
新横浜,9931608,1130604
船橋,1131331,1131331
船橋,1131407,1131331
船橋,2100435,1131331
千葉みなと,1132617,1132617
千葉みなと,9933101,1132617
千葉みなと,9933214,1132617
蒲田,1133230,1133230
蒲田,2600515,1133230
蒲田,2600607,1133230
有楽町,1130225,1130225
有楽町,1133223,1130225
有楽町,2800618,1130225
新木場,1132605,1132605
新木場,2800624,1132605
新木場,9933701,1132605
大井町,1133228,1133228
大井町,2600401,1133228
大井町,9933707,1133228
大和,2500206,2500206
大和,2900114,2500206
大和,2900314,2500206
浜松町,1130227,1130227
浜松町,1133225,1130227
浜松町,9933601,1130227
海老名,1130910,1130910
海老名,2500132,1130910
海老名,2900118,1130910
海老名,2900318,1130910
御茶ノ水,1131203,1131203
御茶ノ水,1131318,1131203
御茶ノ水,2800206,1131203
平和台,2800604,2800604
平和台,2801004,2800604
平和台,9933305,2800604
小川町,1131805,1131805
小川町,2100133,1131805
小川町,9930407,1131805
小田原,1130116,1130116
小田原,2500147,1130116
小田原,9931401,1130116
小田原,9933901,1130116
神保町,2800807,2800807
神保町,9930310,2800807
神保町,9930406,2800807
代々木,1130207,1130207
代々木,1131311,1130207
代々木,9930127,1130207
長津田,1130609,1130609
長津田,2600322,1130609
長津田,2600801,1130609
北千住,1132005,1132005
北千住,2100209,1132005
北千住,2800301,1132005
北千住,2800503,1132005
北千住,9930905,1132005
橋本,1130616,1130616
橋本,1130918,1130616
橋本,2400212,1130616
飯田橋,1131316,1131316
飯田橋,2800406,1131316
飯田橋,2800613,1131316
飯田橋,2800910,1131316
飯田橋,9930107,1131316
錦糸町,1131322,1131322
錦糸町,1131404,1131322
錦糸町,2800812,1131322
金沢八景,2700139,2700139
金沢八景,2700401,2700139
金沢八景,9931714,2700139
青山一丁目,2800116,2800116
青山一丁目,2800803,2800116
青山一丁目,9930125,2800116
東松戸,1130521,1130521
東松戸,2300605,1130521
東松戸,9934006,1130521
新鎌ヶ谷,2100430,2100430
新鎌ヶ谷,2300606,2100430
新鎌ヶ谷,9932914,2100430
新鎌ヶ谷,9934009,2100430
日本橋,2800109,2800109
日本橋,2800410,2800109
日本橋,9930213,2800109
高田馬場,1130210,1130210
高田馬場,2200702,1130210
高田馬場,2800403,1130210
高幡不動,2400129,2400129
高幡不動,2400501,2400129
高幡不動,9933407,2400129
浜川崎,1130328,1130328
浜川崎,1130411,1130328
栗橋,1131914,1131914
栗橋,2100305,1131914
桜木町,1130702,1130702
